alpha-3,month,temperatureHigh,temperatureLow,uvIndex,avg_temp
CHE,02,39.35655172413794,27.93,2.0689655172413794,33.643275862068975
CHE,03,40.196129032258064,26.692903225806454,3.193548387096774,33.444516129032266
CHE,04,55.10150000000001,37.29299999999999,5.4,46.19724999999999
CHE,12,41.29,28.36,1.0,34.825
CHL,01,90.63387096774193,53.02290322580644,11.774193548387096,71.8283870967742
CHL,02,89.25965517241379,49.61999999999999,10.758620689655173,69.4398275862069
CHL,03,86.49193548387096,48.64709677419355,7.709677419354839,67.56951612903225
CHL,04,79.256,44.50249999999999,5.5,61.87925
CHL,12,94.78,53.97,13.0,74.375
CHN,01,43.937007786429334,27.53740823136815,3.3225806451612905,35.73720800889875
CHN,02,50.41925089179557,31.74862068965517,4.462544589774079,41.0839357907253
CHN,03,59.19973303670746,40.3445161290323,5.370411568409343,49.772124582869836
CHN,04,64.9144827586207,44.92586206896555,6.174137931034482,54.92017241379308
CHN,12,44.1751724137931,27.481724137931042,3.206896551724138,35.82844827586208
CIV,01,96.01419354838714,68.18612903225807,9.387096774193548,82.10016129032256
CIV,02,98.90931034482759,68.47275862068966,10.03448275862069,83.69103448275864
CIV,03,95.15516129032257,74.61129032258064,8.67741935483871,84.88322580645163
CIV,04,93.17190476190474,74.26857142857145,8.666666666666666,83.72023809523812
COD,01,89.8080645161291,71.15516129032257,7.258064516129032,80.48161290322578
COD,02,90.67931034482763,71.05862068965519,7.275862068965517,80.8689655172414
COD,03,92.21580645161292,71.32032258064517,7.774193548387097,81.76806451612907
COD,04,89.576,71.72900000000001,6.6,80.6525
COD,12,88.14,69.29,6.0,78.715
COG,01,91.20951612903227,70.99338709677424,8.016129032258064,81.10145161290315
COG,02,91.08034482758623,70.96637931034486,7.775862068965517,81.02336206896551
COG,03,91.0783870967742,70.78983870967743,8.338709677419354,80.93411290322584
COG,04,89.70599999999999,71.35975,6.75,80.53287499999996
COG,12,89.46000000000001,70.065,6.0,79.7625
COL,01,67.21967741935485,50.49903225806452,9.225806451612904,58.859354838709685
COL,02,67.92172413793102,51.5003448275862,9.517241379310345,59.71103448275862
COL,03,65.76161290322581,52.1751612903226,9.03225806451613,58.9683870967742
COL,04,66.23,52.086,9.15,59.157999999999994
COL,12,62.1,51.31,7.0,56.705
CRI,01,71.38483870967741,56.57967741935484,7.290322580645161,63.98225806451612
CRI,02,72.25620689655173,55.101724137931036,8.551724137931034,63.678965517241366
CRI,03,74.9509677419355,53.60161290322581,10.67741935483871,64.27629032258065
CRI,04,78.21400000000001,58.048,8.65,68.13099999999999
CRI,12,73.44,51.91,8.0,62.675
CUB,01,75.88032258064517,60.74645161290323,5.935483870967742,68.31338709677419
CUB,02,78.81172413793104,61.6655172413793,7.793103448275862,70.23862068965519
CUB,03,80.95451612903226,61.62645161290323,9.64516129032258,71.29048387096775
CUB,04,85.55649999999997,66.2765,10.9,75.91650000000001
CUB,12,77.16,64.18,5.0,70.67
CYP,01,60.277741935483874,45.44548387096775,2.4193548387096775,52.861612903225826
CYP,02,61.89103448275861,45.78724137931035,3.793103448275862,53.839137931034486
CYP,03,67.55741935483871,49.12677419354837,5.225806451612903,58.34209677419355
CYP,04,73.50699999999998,52.26099999999999,6.8,62.884
